Nodes;Addjested Nodes
64675521;{309991119,309991121,}
64675524;{309991153,3478445031,}
64675529;{309991167,309991174,}
64675531;{243341155,703364775,4262629626,}
64675533;{4262629624,703364916,}
64675538;{309991242,243341147,}
64675540;{243341145,309991255,}
64675542;{919345867,309991266,}
64675546;{3372800234,243340719,919345784,}
64675559;{1913016307,5057716469,}
64675565;{5000702825,2885089937,1966477091,1966477102,}
64675569;{703970106,1867298169,3523560461,1867298160,}
64675572;{703969878,559990925,}
64675575;{309991239,309991240,}
74659533;{703970102,4182638001,}
74659540;{4182644417,702292678,}
74659545;{3643258610,3326734709,4182642695,}
74659551;{702292678,965928396,}
74659554;{3699651972,560399005,560399004,}
74659557;{713766455,1805234146,}
74659558;{1320264268,1809840473,}
74659655;{1320264362,560399013,}
243340060;{4681414317,5418708838,2408789204,}
243340718;{919345783,2885089098,}
243340719;{3719884444,64675546,}
243340720;{309991266,3719884449,}
243340880;{919345720,919345760,667930587,}
243340881;{243340882,919345708,}
243340882;{3372800255,243340881,}
243340883;{919345781,3372800255,3935856347,}
243341144;{309991256,309991261,}
243341145;{309991254,64675540,}
243341147;{64675538,309991245,}
243341148;{309991241,309991244,}
243341149;{309991240,309991241,}
243341150;{309991235,4262629623,}
243341151;{703364916,309991236,}
243341152;{4262629625,4262629624,}
243341153;{4262629627,4262629625,}
243341154;{703364907,309991233,}
243341155;{309991227,64675531,}
303011520;{1667549570,1905876533,1905876565,}
303011521;{1220279892,4873546290,3545601408,3545601398,}
303011522;{3515130216,3541796952,3538731445,3538731446,}
303011523;{3538731446,3538731433,3541796930,}
303011525;{595730970,3541796982,3541796949,595742605,}
309991093;{739249861,739249937,}
309991095;{309991104,309991106,}
309991104;{2168320750,309991095,}
309991106;{309991095,739249861,}
309991109;{560397655,3642977355,}
309991111;{739249944,2855123338,}
309991113;{3642977355,703364863,}
309991115;{703364863,309991117,}
309991117;{309991115,309991119,}
309991119;{309991117,64675521,}
309991120;{309991125,309991127,}
309991121;{64675521,309991123,}
309991123;{309991121,309991125,}
309991125;{309991123,309991120,}
309991127;{309991120,739250360,}
309991129;{309991139,309991144,}
309991131;{739250360,309991139,}
309991139;{309991131,309991129,}
309991142;{560397656,309991146,}
309991144;{309991129,3698633508,}
309991146;{309991142,309991147,}
309991147;{309991146,309991148,}
309991148;{309991147,309991151,}
309991151;{309991148,309991153,}
309991153;{309991151,64675524,}
309991155;{560397658,309991163,}
309991159;{3478445031,3478445032,}
309991161;{3698633523,560397658,}
309991163;{309991155,309991165,}
309991165;{309991163,309991167,}
309991167;{309991165,64675529,}
309991169;{309991196,309991211,}
309991172;{4267786365,309991177,2886694886,3724952120,}
309991174;{64675529,4267786365,}
309991177;{309991172,309991182,}
309991182;{309991177,309991186,}
309991186;{309991182,309991190,3724952228,}
309991190;{309991186,309991196,}
309991196;{309991190,309991169,}
309991203;{309991209,967671508,}
309991209;{703364771,309991203,}
309991211;{309991169,703364771,}
309991213;{4287998785,309991217,}
309991217;{967671508,309991213,}
309991227;{4286120717,243341155,4286120714,}
309991229;{4262629626,309991232,}
309991232;{309991229,703364907,}
309991233;{243341154,4262629627,2967301568,}
309991234;{309991236,309991235,}
309991235;{309991234,243341150,}
309991236;{243341151,309991234,}
309991237;{4262629623,309991239,}
309991239;{309991237,64675575,}
309991240;{64675575,243341149,}
